Deal name masked,Customer Name Code,Serial #,Nature of Work,Last executed month of recurring project,Execution Status,Data Delivery Date,Date of PO/LOI,Document Type,Probable Start Date,Probable End Date,BD/KAM Personnel code,Sector,Type of Work,Is any Skylark software platform part of the client deliverables in this deal?,Last invoice date,latest invoice no.,Amount in Rupees (Excl of GST) (Masked),Amount in Rupees (Incl of GST) (Masked),Billed Value in Rupees (Excl of GST.) (Masked),Billed Value in Rupees (Incl of GST.) (Masked),Collected Amount in Rupees (Incl of GST.) (Masked),Amount to be billed in Rs. (Exl. of GST) (Masked),Amount to be billed in Rs. (Incl. of GST) (Masked),Amount Receivable (Masked),AR Priority account,Quantity by Ops,Quantities as per PO,Quantity billed (till date),Balance in quantity,Invoice Status,Expected Billing Month,Actual Billing Month,Actual Collection Month,WO Status (billed),Collection status,Collection Date,Billing Status,source_row_number,quality_flag
Tanjiro,WOCOMPANY_051,SDPLDEAL-049,One time Project,,Completed,2025-06-10,2025-04-10,Purchase Order,2025-04-21,2025-07-21,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-07-22,SDPL/FY25-26/363,707388.184,834718.05712,707388.184,834718.05712,763979.732,0.0,0.0,70738.32512,,3961.22,3956HA,3956.0,0.0,Fully Billed,,September,,Closed,,,,50,
Timon,WOCOMPANY_046,SDPLDEAL-050,Proof of Concept,,Completed,,2025-06-20,Email Confirmation,2025-06-23,2025-08-10,OWNER_001,Renewables,"Videography for construction monitoring, Topography Survey: RGB",NONE,,,1.2332,1.455176,,0.0,,1.2332,1.455176,0.0,,,2 location,,2.0,,,,,Open,,,,51,
Alphonse,WOCOMPANY_009,SDPLDEAL-051,One time Project,,Completed,,2025-06-17,Purchase Order,2025-01-01,2025-06-20,OWNER_005,Renewables,Others,SPECTRA,2025-06-20,SDPL/FY25-26/080,2466400.0,2910352.0,2466400.0,2910352.0,2910352.0,0.0,0.0,0.0,,,1,1.0,0.0,Fully Billed,,,,Closed,,,,52,
Mr. Krabs,WOCOMPANY_031,SDPLDEAL-053,Monthly Contract,May,Executed until current month,,2025-01-21,Purchase Order,2025-05-15,2025-05-19,OWNER_004,Mining,LiDAR Survey: LiDAR,SPECTRA,2025-06-20,SDPL/FY25-26/083,184980.0,218276.4,184980.0,218276.4,,0.0,0.0,218276.4,,,7 mines,1.0,6.0,Fully Billed,,,,Closed,,,,53,
Mojo Jojo,WOCOMPANY_036,SDPLDEAL-054,One time Project,,Completed,2025-01-23,2025-05-14,Purchase Order,2025-06-04,2025-06-11,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-07-31,SDPL/FY25-26/377,65976.2,77851.916,65967.5676,77841.729768,77841.729768,8.6324,10.186232,0.0,,,194.52 Ha,,194.52,Fully Billed,,July,,Closed,,,,54,
Asuna,WOCOMPANY_018,SDPLDEAL-055,Monthly Contract,May,Executed until current month,,2023-04-11,Purchase Order,,,OWNER_001,Mining,Videography for construction monitoring,NONE,2025-03-31,SDPL/FY24-25/565,1775808.0,2095453.44,369960.0,436552.8,224434.038904,1405848.0,1658900.64,212118.761096,,,24 Months,,24.0,Partially Billed,,,,Open,,,,55,
Sakura,WOCOMPANY_002,SDPLDEAL-056,One time Project,,Completed,,2025-02-28,Purchase Order,2025-05-08,,OWNER_008,Mining,Raw images/videography,NONE,,,30830.0,36379.4,30830.0,36379.4,,0.0,0.0,36379.4,,,73 Ha,,73.0,Fully Billed,,,,Closed,,,,56,
Asuna,WOCOMPANY_018,SDPLDEAL-057,Monthly Contract,May,Executed until current month,,2024-07-12,Purchase Order,,,OWNER_001,Mining,Videography for construction monitoring,NONE,2025-03-31,SDPL/FY24-25/566,665928.0,785795.04,110988.0,130965.84,81392.4332,554940.0,654829.2,49573.4068,,,18 Months,,18.0,Partially Billed,,,,Open,,,,57,
Gohan,WOCOMPANY_026,SDPLDEAL-058,One time Project,,Completed,,2025-03-28,Purchase Order,,,OWNER_001,Construction,"Topography Survey: RGB, Hydrology",DMO,2025-07-18,SDPL/FY25-26/358,1514246.28,1786810.6104,1514246.28,1786810.6104,1635385.9824,0.0,0.0,151424.628,,,1,1.0,0.0,Fully Billed,,August,,Closed,,,,58,
Powerpuff Girls,WOCOMPANY_039,SDPLDEAL-060,Monthly Contract,Dec,Executed until current month,,2025-01-23,Purchase Order,,,OWNER_001,Mining,LiDAR Survey: LiDAR,NONE,2025-06-16,SDPL/FY25-26/412,3877242.46,4575146.1028,2684244.78,3167408.8404,2141430.8356,1192997.68,1407737.2624,1025978.0048,,,13,7.0,6.0,Billed- Visit 7,,,,Open,,,,59,
Rafiki,WOCOMPANY_048,SDPLDEAL-061,Monthly Contract,June,Executed until current month,,2022-09-29,Purchase Order,,,OWNER_003,Mining,"Topography Survey: RGB, Videography for construction monitoring",NONE,,,2757435.2,3253773.536,,0.0,,2757435.2,3253773.536,0.0,,,5000 HA,,5000.0,Fully Billed,,,,Open,,,,60,
Bulbasaur,WOCOMPANY_050,SDPLDEAL-062,Annual Rate Contract,March,Executed until current month,,2025-03-25,Purchase Order,2025-02-05,2025-06-20,OWNER_004,Others,Others,SPECTRA + DMO,,,158699.385788,187265.27522984,,0.0,,158699.385788,187265.27522984,0.0,,,98000 Acres,,98000.0,,,,,Open,,,,61,
Alias_160,WOCOMPANY_051,SDPLDEAL-063,Annual Rate Contract,May,Executed until current month,,2025-04-01,LOA/LOI,2025-04-01,2026-04-01,OWNER_001,Mining,Mine survey,NONE,,,1.2332,1.455176,,0.0,,1.2332,1.455176,0.0,,49.494,,,,,,,,Open,,,,62,
Shanks,WOCOMPANY_012,SDPLDEAL-065,One time Project,,Completed,,2025-04-12,Purchase Order,2025-04-10,2025-04-16,OWNER_004,Renewables,"Solar Inspection, Thermography",SPECTRA,2025-06-24,SDPL/FY25-26/088,24664.0,29103.52,24664.0,29103.52,2467.6332,0.0,0.0,26635.8868,Priority,,40MW,,40.0,Fully Billed,,,,Closed,,,,63,
Subaru,WOCOMPANY_019,SDPLDEAL-066,One time Project,,Completed,,2025-04-10,Purchase Order,2025-05-01,2025-06-10,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-06-27,SDPL/FY25-26/095,81555.27726,96235.2271668,81555.27726,96235.2271668,96235.2284,0.0,0.0,-0.0012332,,456.137,456.090 HA,456.09,0.0,Fully Billed,,July,,Closed,,,,64,negative_amount_receivable
Frieza,WOCOMPANY_022,SDPLDEAL-067,One time Project,,Completed,,2025-04-10,Purchase Order,2025-05-01,2025-06-16,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-06,SDPL/FY25-26/386,125169.8,147700.364,116542.0245,137519.58891,20977.47192,8627.7755,10180.77509,116542.11699,,467.87,700 HA,651.75,48.25,Fully Billed,,July,,Closed,,,,65,
Subaru,WOCOMPANY_019,SDPLDEAL-068,One time Project,,Completed,,2025-04-10,Purchase Order,2025-05-01,2025-06-16,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-07-21,SDPL/FY25-26/361,61690.83,72795.1794,61690.83,72795.1794,72795.796,0.0,0.0,-0.6166,,353.851,345 HA,345.0,0.0,Fully Billed,,July,,Closed,,,,66,negative_amount_receivable
Subaru,WOCOMPANY_019,SDPLDEAL-069,One time Project,,Completed,,2025-04-10,Purchase Order,2025-05-01,2025-06-16,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-11-03,SDPL/FY25-26/528,144622.2968,170654.310224,144622.2968,170654.310224,,0.0,0.0,170654.310224,,918.667,808.790 HA,,808.79,Fully Billed,,November,,Closed,,,,67,
Subaru,WOCOMPANY_019,SDPLDEAL-070,One time Project,,Completed,,2025-04-10,Purchase Order,2025-05-01,2025-06-17,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-07-28,SDPL/FY25-26/375,80098.8064,94516.591552,80098.8064,94516.591552,73807.6366,0.0,0.0,20708.954952,,447.929,447.950 HA,447.95,0.0,Fully Billed,,July,,Closed,,,,68,
Subaru,WOCOMPANY_019,SDPLDEAL-071,One time Project,,Completed,,2025-04-10,Purchase Order,2025-05-01,2025-06-17,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-07-28,SDPL/FY25-26/376,94747.9892,111802.627256,94747.9892,111802.627256,92852.5608,0.0,0.0,18950.066456,,529.845,529.870 HA,529.87,0.0,Fully Billed,,July,,Closed,,,,69,
Subaru,WOCOMPANY_019,SDPLDEAL-072,One time Project,,Completed,,2025-04-10,Purchase Order,2025-05-01,2025-06-17,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-07-28,SDPL/FY25-26/374,234398.0236,276589.667848,234398.0236,276589.667848,,0.0,0.0,276589.667848,,1310.802,"1,310.850",1310.85,-1309.85,Fully Billed,,July,,Closed,,,,70,
Tanjiro,WOCOMPANY_051,SDPLDEAL-073,One time Project,,Completed,,2025-04-28,Purchase Order,2025-05-15,2025-06-15,OWNER_001,Mining,Others,NONE,2025-06-30,SDPL/FY25-26/103,321865.2,379800.936,166482.0,196448.76,196448.76,155383.2,183352.176,0.0,,,145 pillars,75.0,70.0,Fully Billed,,July,,Closed,,,,71,
Frieza,WOCOMPANY_022,SDPLDEAL-074,One time Project,,Completed,,2025-04-10,Purchase Order,2025-05-01,2025-06-16,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-06-30,SDPL/FY25-26/100,188717.792204,222686.99480072,188717.792204,222686.99480072,222687.5564,0.0,0.0,-0.56159928,,1055.386,1100 HA,1055.386,44.614,Fully Billed,,June,,Closed,,,,72,negative_amount_receivable
Yuji Itadori,WOCOMPANY_006,SDPLDEAL-076,One time Project,,Completed,,2025-04-01,Purchase Order,2025-04-05,2025-04-11,OWNER_003,Renewables,"Hydrology, Topography Survey: RGB",NONE,,,431620.0,509311.6,431620.0,509311.6,509311.6,0.0,0.0,0.0,,,222 HA,,222.0,,,,,,,,Billed,73,billing_status_typo_corrected
Winnie the Pooh,WOCOMPANY_042,SDPLDEAL-077,Proof of Concept,,Completed,,2025-04-18,Email Confirmation,2025-04-30,2025-04-30,OWNER_003,Mining,"Volumetric survey, Others",NONE,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,152 HA,,152.0,,,,,,,,Not Billable,74,
Alias_162,WOCOMPANY_052,SDPLDEAL-078,Proof of Concept,,Completed,,2025-06-06,Email Confirmation,2025-06-13,2025-06-13,OWNER_003,Mining,Volumetric survey,NONE,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,Not Billable,75,
Trunks,WOCOMPANY_015,SDPLDEAL-079,Proof of Concept,,Completed,,2025-07-01,Email Confirmation,2025-04-23,2025-04-23,OWNER_003,Railways,Road/rail survey,NONE,,,554940.0,654829.2,,0.0,,554940.0,654829.2,0.0,,,,,,,,,,,,,Not Billable,76,
Tuxedo Mask,WOCOMPANY_052,SDPLDEAL-080,Annual Rate Contract,Dec,Executed until current month,,2025-04-01,Purchase Order,2025-04-01,2028-03-31,OWNER_003,Mining,"Topography Survey: RGB, Volumetric survey",NONE,2025-07-03,SDPL/FY25-26/118,2959680.0,3492422.4,493282.4664,582073.310352,,2466397.5336,2910349.089648,582073.310352,Priority,,36 AU,3.0,33.0,Billed- Visit 3,,,,Open,,,,77,
Timon,WOCOMPANY_046,SDPLDEAL-081,Proof of Concept,,Completed,,2025-06-27,Purchase Order,2025-07-01,2025-08-17,OWNER_001,Renewables,"Topography Survey: RGB, Raw images/videography",SPECTRA,2025-11-03,,277470.0,327414.6,277470.0,327414.6,,0.0,0.0,327414.6,,,45days,,45.0,Fully Billed,,Dec,,Closed,,,,78,
Timon,WOCOMPANY_046,SDPLDEAL-082,Proof of Concept,,Pause / struck,,2025-06-19,Purchase Order,2025-07-01,2025-08-17,OWNER_001,Renewables,"Topography Survey: RGB, Raw images/videography, Others",SPECTRA,2025-11-03,,277470.0,327414.6,277470.0,327414.6,,0.0,0.0,327414.6,,,45 days,,45.0,Fully Billed,,,,Closed,,,,79,
Subaru,WOCOMPANY_019,SDPLDEAL-083,One time Project,,Completed,,2025-04-10,Purchase Order,2025-05-01,2025-06-25,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-07-02,SDPL/FY25-26/114,143051.2,168800.416,130176.592,153608.37856,26035.3184,12874.608,15192.03744,127573.06016,,726.976,800,,800.0,Fully Billed,,July,,Closed,,,,80,
Tuxedo Mask,WOCOMPANY_041,SDPLDEAL-084,One time Project,,Completed,,2025-06-21,Purchase Order,2025-07-01,2025-07-10,OWNER_003,Renewables,Others,NONE,2025-07-04,SDPL/FY25-26/120,215810.0,254655.8,215810.0,254655.8,,0.0,0.0,254655.8,Priority,,1,1.0,0.0,Fully Billed,,,,Closed,,,,81,
Luffy,WOCOMPANY_032,SDPLDEAL-085,One time Project,,Completed,,2025-06-21,LOA/LOI,2025-06-01,2025-06-30,OWNER_003,Renewables,Thermography,NONE,,,,0.0,,0.0,,0.0,0.0,0.0,,,1,,1.0,,,,,Open,,,Update Required,82,invalid_amount_in_rupees_excl_of_gst_masked
Alias_162,WOCOMPANY_052,SDPLDEAL-086,Annual Rate Contract,,Completed,,2024-07-22,Purchase Order,2024-07-30,2025-07-30,OWNER_001,Mining,Volumetric survey,NONE,,,710616.20832,838527.1258176,710616.20832,838527.1258176,767463.522,0.0,0.0,71063.6038175999,Priority,,8 units,,8.0,Fully Billed,,,,Closed,,,,83,
Alias_162,WOCOMPANY_052,SDPLDEAL-087,Annual Rate Contract,Dec,Executed until current month,,2025-08-08,Purchase Order,2025-04-01,2026-03-31,OWNER_001,Mining,Volumetric survey,NONE,2025-12-09,SDPL/FY25-26/572,1065928.752,1257795.92736,838526.672,989461.47296,618232.7568,227402.08,268334.4544,371228.71616,,,12 months,,12.0,Fully Billed,,,,,,,,84,
Mojo Jojo,WOCOMPANY_036,SDPLDEAL-088,One time Project,,Completed,,2025-04-26,Purchase Order,2025-04-28,2025-08-15,OWNER_001,Mining,Topography Survey: RGB,SPECTRA,2025-09-03,SDPL/FY25-26/419,154150.0,181897.0,154150.0,181897.0,166482.0,0.0,0.0,15415.0,,,200 Acres,,200.0,Fully Billed,,September,,Closed,,,,85,
Obito,WOCOMPANY_023,SDPLDEAL-089,Annual Rate Contract,,Completed,,2025-07-09,LOA/LOI,2025-06-21,2026-06-20,OWNER_003,Mining,Others,NONE,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,1,,1.0,,,,,,,,Not Billable,86,
Mojo Jojo,WOCOMPANY_036,SDPLDEAL-090,One time Project,,Completed,,2025-04-15,Purchase Order,2025-05-12,2025-06-20,OWNER_001,Mining,Topography Survey: RGB,SPECTRA,2025-08-06,SDPL/FY25-26/387,223971.3176,264286.154768,223971.3176,264286.154768,264287.092,0.0,0.0,-0.937232,,609.44,660.43HA,660.43,0.0,Fully Billed,,August,,Closed,,,,87,negative_amount_receivable
Rafiki,WOCOMPANY_048,SDPLDEAL-091,Proof of Concept,,Completed,,2025-07-08,Email Confirmation,2025-06-11,2025-06-19,OWNER_003,Mining,Thermography,NONE,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,3 Rooftops,,3.0,,,,,,,,Not Billable,88,
Alias_160,WOCOMPANY_051,SDPLDEAL-092,One time Project,,Completed,,2025-04-10,Purchase Order,2025-05-01,2025-06-25,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-08-06,SDPL/FY25-26/390,357628.0,422001.04,321686.386,379589.93548,347420.61862,35941.614,42411.10452,32169.31686,,2173.17,2000,,2000.0,Fully Billed,,August,,Closed,,,,89,
Obito,WOCOMPANY_023,SDPLDEAL-093,One time Project,,Completed,,2025-07-15,LOA/LOI,2025-07-21,2025-07-25,OWNER_003,Mining,Others,NONE,,,76458.4,90220.912,,0.0,,76458.4,90220.912,0.0,,,1,,1.0,,,,,,,,Update Required,90,
GG go,WOCOMPANY_035,SDPLDEAL-094,One time Project,,Completed,,2025-07-10,Purchase Order,2025-07-15,2025-07-31,OWNER_003,Renewables,Hydrology,NONE,,,749785.6,884747.008,,0.0,,749785.6,884747.008,0.0,,,1415 Acres,,1415.0,,,,,,,,Update Required,91,
Subaru,WOCOMPANY_019,SDPLDEAL-095,One time Project,,Completed,,2025-07-17,Purchase Order,2025-05-01,2025-05-30,OWNER_001,Mining,Topography Survey: RGB,NONE,2025-07-28,SDPL/FY25-26/373,155665.6028,183685.411304,155665.6028,183685.411304,3115.0632,0.0,0.0,180570.348104,,813.635,870.45 HA,,870.45,Fully Billed,,July,,Closed,,,,92,
Alphonse,WOCOMPANY_009,SDPLDEAL-096,One time Project,,Completed,,2025-07-16,Purchase Order,2025-07-14,2025-07-28,OWNER_001,Renewables,Topography Survey: RGB,NONE,2025-08-20,SDPL/FY25-26/413,986560.0,1164140.8,986560.0,1164140.8,,0.0,0.0,1164140.8,,,4 Sites,,4.0,Fully Billed,,September,,Closed,,,,93,
Alias_160,WOCOMPANY_051,SDPLDEAL-097,One time Project,,Completed,,2025-04-10,,2025-05-01,2025-05-31,OWNER_001,Mining,Topography Survey: RGB,SPECTRA,2025-07-25,SDPL/FY25-26/370,84190.564,99344.86552,79060.452,93291.33336,85383.906976,5130.112,6053.53216,7907.426384,,442.14,446 HA,,446.0,Fully Billed,,July,,Closed,,,,94,
Erwin,WOCOMPANY_021,SDPLDEAL-098,One time Project,,Completed,,2025-05-22,Purchase Order,2025-05-26,2025-06-25,OWNER_001,Mining,Topography Survey: RGB,SPECTRA,2025-08-20,SDPL/FY25-26/405,319811.922,377378.06796,319811.922,377378.06796,,0.0,0.0,377378.06796,,,960.5 HA,,960.5,Fully Billed,,August,,Closed,,,,95,
Goku,WOCOMPANY_003,SDPLDEAL-099,One time Project,,Ongoing,,2025-07-23,Purchase Order,2025-07-28,2025-09-30,OWNER_003,Railways,"LiDAR Survey: LiDAR, Road/rail survey",NONE,2025-09-01,SDPL/FY25-26/424,14391444.0,16981903.92,246640.0,291035.2,291035.2,14144804.0,16690868.72,0.0,,,778,,778.0,,,,,,,,Partially Billed,96,
Erwin,WOCOMPANY_021,SDPLDEAL-100,Annual Rate Contract,,Completed,,2025-05-28,Purchase Order,2025-07-01,2025-07-15,OWNER_001,Mining,Volumetric survey,SPECTRA,2025-08-20,SDPL/FY25-26/406,791874.716,934412.16488,594265.416144,701233.19104992,,197609.299856,233178.97383008,701233.19104992,,,2379.7 HA,,2379.7,Fully Billed,,Dec,,Open,,,,97,
Nami,WOCOMPANY_002,SDPLDEAL-102,One time Project,,Completed,,2025-08-02,Purchase Order,2025-08-04,2025-08-09,OWNER_003,Mining,Raw images/videography,NONE,,,64373.04,75960.1872,,0.0,,64373.04,75960.1872,0.0,,,1,,1.0,,,,,,,,Update Required,98,
Ben Tennyson,WOCOMPANY_033,SDPLDEAL-103,One time Project,,Completed,,2025-08-01,Purchase Order,2025-07-01,2025-07-31,OWNER_003,Renewables,"Hydrology, Topography Survey: RGB",NONE,,,487114.0,574794.52,,0.0,,487114.0,574794.52,0.0,,,1,,1.0,,,,,,,,Update Required,99,
Subaru,WOCOMPANY_019,SDPLDEAL-105,One time Project,,Completed,,2025-08-06,Purchase Order,2025-05-01,2025-05-29,OWNER_001,Mining,Topography Survey: RGB,SPECTRA,2025-08-06,2025-08-06,20563.61,24265.0598,20251.6104,23896.900272,23896.9496,311.9996,368.159528,-0.049328,,,115HA,,115.0,Fully Billed,,August,,Closed,,,,100,negative_amount_receivable
Yuji Itadori,WOCOMPANY_006,SDPLDEAL-106,One time Project,,Completed,,2025-08-08,Purchase Order,2025-08-08,2025-08-20,OWNER_003,Renewables,"Hydrology, Topography Survey: RGB",NONE,2025-09-12,SDPL/FY25-26/442,339130.0,400173.4,339130.0,400173.4,400173.4,0.0,0.0,0.0,,,1,,1.0,Fully Billed,,,,,,,,101,
Alphonse,WOCOMPANY_009,SDPLDEAL-108,One time Project,,Completed,,2025-08-18,Purchase Order,2025-08-14,2025-08-30,OWNER_001,Renewables,"Topography Survey: RGB, Hydrology",SPECTRA,2025-09-24,SDPL/FY25-26/476,477247.795732,563152.39896376,477247.795732,563152.39896376,563151.8788,0.0,0.0,0.52016376,,,537 Acres,,537.0,Fully Billed,,November,,Closed,,,,102,
Rafiki,WOCOMPANY_048,SDPLDEAL-109,Annual Rate Contract,,Ongoing,,2025-08-11,Purchase Order,2025-09-01,2027-08-31,OWNER_003,Renewables,"Topography Survey: RGB, Thermography",NONE,,,616600.0,727588.0,,0.0,,616600.0,727588.0,0.0,,,1,,1.0,,,,,,,,Update Required,103,
Alias_162,WOCOMPANY_052,SDPLDEAL-111,,,,,2024-11-22,,,,,Mining,Others,DMO,,,863240.0,1018623.2,739920.0,873105.6,864473.2,123320.0,145517.6,8632.4,,,,,,,,,,,,,,104,missing_owner_code|missing_execution_status
